Zeit,I1max,I2max,I3max
19.08.2017 07:10,10.6116,4.74847,10.8872
19.08.2017 07:20,12.2715,16.9159,18.644
19.08.2017 07:30,6.39901,11.4038,9.21689
19.08.2017 07:40,9.36078,16.8823,8.59124
19.08.2017 07:50,17.9262,16.7187,11.5175
19.08.2017 08:00,19.0464,27.7501,14.2043
19.08.2017 08:10,16.3505,23.0308,13.8898
19.08.2017 08:20,18.5035,11.6574,7.61747
19.08.2017 08:30,18.5627,11.3292,15.5877
19.08.2017 08:40,9.40396,9.41598,11.9122
19.08.2017 08:50,2.81526,9.63881,11.9943
19.08.2017 09:00,13.3433,10.3944,15.9235
19.08.2017 09:10,11.6656,10.4822,10.7253
19.08.2017 09:20,4.19399,7.01251,9.45466
19.08.2017 09:30,12.7959,10.2553,16.648
19.08.2017 09:40,19.2364,9.96086,17.1683
19.08.2017 09:50,21.5275,3.77058,10.8472
19.08.2017 10:00,24.6037,11.9536,18.0344
19.08.2017 10:10,16.524,8.93661,17.6482
19.08.2017 10:20,13.2472,4.67641,11.9975
19.08.2017 10:30,9.5418,9.28101,12.985
19.08.2017 10:40,11.8664,11.8227,19.1455
19.08.2017 10:50,12.4683,14.0969,18.9482
19.08.2017 11:00,12.221,20.2333,24.6469
19.08.2017 11:10,5.0273,7.02805,20.761
19.08.2017 11:20,4.54439,11.1963,20.8956
19.08.2017 11:30,9.23416,12.0404,16.9482
19.08.2017 11:40,12.1752,7.96376,19.2613
19.08.2017 11:50,8.80792,9.42095,18.3155
19.08.2017 12:00,17.0345,19.3691,25.2965
19.08.2017 12:10,18.5445,21.6658,24.8659
19.08.2017 12:20,13.4047,19.5234,27.9722
19.08.2017 12:30,18.3367,15.0855,22.9702
19.08.2017 12:40,13.4496,13.257,27.1234
19.08.2017 12:50,10.5096,9.88631,21.4045
19.08.2017 13:00,3.46187,8.46514,12.7511
19.08.2017 13:10,12.6974,13.2852,15.6381
19.08.2017 13:20,9.8896,20.2865,10.7298
19.08.2017 13:30,11.7314,11.7867,14.8208
19.08.2017 13:40,11.0342,16.5084,14.9477
19.08.2017 13:50,10.5099,16.7839,14.6752
19.08.2017 14:00,11.865,13.182,16.5238
19.08.2017 14:10,5.83124,20.1935,17.3996
19.08.2017 14:20,9.79396,10.6156,15.3358
19.08.2017 14:30,11.454,7.72674,12.2368
19.08.2017 14:40,2.31911,14.1719,10.8739
19.08.2017 14:50,5.00598,9.58829,11.6779
19.08.2017 15:00,7.66603,6.74163,9.52516
19.08.2017 15:10,11.22,10.8495,17.6153
19.08.2017 15:20,4.06249,11.7897,17.5832
